  Epoch 27 | Batch 1700 | Total: 0.6587 | MSE: 0.3166 | VarLoss: 0.3420 | TargetStd: 0.3964
  Epoch 27 | Batch 1750 | Total: 0.7267 | MSE: 0.3319 | VarLoss: 0.3948 | TargetStd: 0.5168
  Epoch 27 | Batch 1800 | Total: 0.7080 | MSE: 0.4197 | VarLoss: 0.2883 | TargetStd: 0.4725
  Epoch 27 | Batch 1850 | Total: 0.6957 | MSE: 0.3053 | VarLoss: 0.3904 | TargetStd: 0.3976
  Epoch 27 | Batch 1900 | Total: 0.7968 | MSE: 0.2998 | VarLoss: 0.4971 | TargetStd: 0.4506
  Epoch 27 | Batch 1950 | Total: 0.6623 | MSE: 0.3269 | VarLoss: 0.3354 | TargetStd: 0.5070
  Epoch 27 | Batch 2000 | Total: 0.6000 | MSE: 0.3501 | VarLoss: 0.2499 | TargetStd: 0.4275
  Epoch 27 | Batch 2050 | Total: 0.7206 | MSE: 0.3351 | VarLoss: 0.3855 | TargetStd: 0.4326
  Epoch 27 | Batch 2100 | Total: 0.6691 | MSE: 0.3146 | VarLoss: 0.3545 | TargetStd: 0.4880
  Epoch 27 | Batch 2150 | Total: 0.6815 | MSE: 0.3788 | VarLoss: 0.3027 | TargetStd: 0.5364
Epoch 27 | Train Loss: 0.6420 | Val Loss: 0.9924
  -> New best val loss: 0.9924
  Epoch 28 | Batch 0 | Total: 0.6495 | MSE: 0.3099 | VarLoss: 0.3396 | TargetStd: 0.4453
  Epoch 28 | Batch 50 | Total: 0.7016 | MSE: 0.2946 | VarLoss: 0.4070 | TargetStd: 0.4661
  Epoch 28 | Batch 100 | Total: 0.6125 | MSE: 0.3037 | VarLoss: 0.3088 | TargetStd: 0.4748
  Epoch 28 | Batch 150 | Total: 0.7018 | MSE: 0.3258 | VarLoss: 0.3760 | TargetStd: 0.3084
  Epoch 28 | Batch 200 | Total: 0.6377 | MSE: 0.3547 | VarLoss: 0.2830 | TargetStd: 0.4852
  Epoch 28 | Batch 250 | Total: 0.7400 | MSE: 0.3731 | VarLoss: 0.3669 | TargetStd: 0.5064
  Epoch 28 | Batch 300 | Total: 0.6793 | MSE: 0.3517 | VarLoss: 0.3276 | TargetStd: 0.4419
  Epoch 28 | Batch 350 | Total: 0.6043 | MSE: 0.3067 | VarLoss: 0.2976 | TargetStd: 0.4876
  Epoch 28 | Batch 400 | Total: 0.6383 | MSE: 0.2965 | VarLoss: 0.3418 | TargetStd: 0.4598
  Epoch 28 | Batch 450 | Total: 0.7028 | MSE: 0.3278 | VarLoss: 0.3750 | TargetStd: 0.4682
  Epoch 28 | Batch 500 | Total: 0.5932 | MSE: 0.2865 | VarLoss: 0.3066 | TargetStd: 0.4683
  Epoch 28 | Batch 550 | Total: 0.6134 | MSE: 0.3146 | VarLoss: 0.2988 | TargetStd: 0.4139
  Epoch 28 | Batch 600 | Total: 0.6060 | MSE: 0.2778 | VarLoss: 0.3281 | TargetStd: 0.4524
  Epoch 28 | Batch 650 | Total: 0.5985 | MSE: 0.2669 | VarLoss: 0.3315 | TargetStd: 0.4402
  Epoch 28 | Batch 700 | Total: 0.8204 | MSE: 0.3004 | VarLoss: 0.5200 | TargetStd: 0.4095
  Epoch 28 | Batch 750 | Total: 0.6039 | MSE: 0.3321 | VarLoss: 0.2717 | TargetStd: 0.4544
  Epoch 28 | Batch 800 | Total: 0.6814 | MSE: 0.2973 | VarLoss: 0.3840 | TargetStd: 0.4210
  Epoch 28 | Batch 850 | Total: 0.6645 | MSE: 0.3398 | VarLoss: 0.3247 | TargetStd: 0.3486
  Epoch 28 | Batch 900 | Total: 0.6170 | MSE: 0.3487 | VarLoss: 0.2683 | TargetStd: 0.4609
  Epoch 28 | Batch 950 | Total: 0.5961 | MSE: 0.3058 | VarLoss: 0.2903 | TargetStd: 0.4574
  Epoch 28 | Batch 1000 | Total: 0.5659 | MSE: 0.2695 | VarLoss: 0.2964 | TargetStd: 0.4321
  Epoch 28 | Batch 1050 | Total: 0.6847 | MSE: 0.3800 | VarLoss: 0.3047 | TargetStd: 0.5005
  Epoch 28 | Batch 1100 | Total: 0.5764 | MSE: 0.3003 | VarLoss: 0.2761 | TargetStd: 0.4619
  Epoch 28 | Batch 1150 | Total: 0.5991 | MSE: 0.3643 | VarLoss: 0.2347 | TargetStd: 0.4763
  Epoch 28 | Batch 1200 | Total: 0.6981 | MSE: 0.3639 | VarLoss: 0.3342 | TargetStd: 0.4917
  Epoch 28 | Batch 1250 | Total: 0.7311 | MSE: 0.2777 | VarLoss: 0.4534 | TargetStd: 0.4431
  Epoch 28 | Batch 1300 | Total: 0.6456 | MSE: 0.3287 | VarLoss: 0.3169 | TargetStd: 0.4087
