  Epoch 2 | Batch 1750 | Total: 0.7033 | MSE: 0.4910 | VarLoss: 0.2123 | TargetStd: 0.7911
  Epoch 2 | Batch 1800 | Total: 0.6315 | MSE: 0.3537 | VarLoss: 0.2778 | TargetStd: 0.6803
  Epoch 2 | Batch 1850 | Total: 0.8752 | MSE: 0.3210 | VarLoss: 0.5542 | TargetStd: 0.4719
  Epoch 2 | Batch 1900 | Total: 1.1276 | MSE: 0.5753 | VarLoss: 0.5522 | TargetStd: 0.6798
  Epoch 2 | Batch 1950 | Total: 0.5823 | MSE: 0.3847 | VarLoss: 0.1976 | TargetStd: 0.8051
  Epoch 2 | Batch 2000 | Total: 0.5469 | MSE: 0.3334 | VarLoss: 0.2135 | TargetStd: 0.5754
  Epoch 2 | Batch 2050 | Total: 0.5851 | MSE: 0.3082 | VarLoss: 0.2769 | TargetStd: 0.6297
  Epoch 2 | Batch 2100 | Total: 0.5585 | MSE: 0.3787 | VarLoss: 0.1798 | TargetStd: 0.7659
  Epoch 2 | Batch 2150 | Total: 0.9684 | MSE: 0.6376 | VarLoss: 0.3308 | TargetStd: 0.8705
Epoch 2 | Train Loss: 0.7155 | Val Loss: 1.2343
  -> New best val loss: 1.2343
  Epoch 3 | Batch 0 | Total: 0.7163 | MSE: 0.3969 | VarLoss: 0.3193 | TargetStd: 0.6281
  Epoch 3 | Batch 50 | Total: 0.6431 | MSE: 0.4101 | VarLoss: 0.2330 | TargetStd: 0.7663
  Epoch 3 | Batch 100 | Total: 0.5679 | MSE: 0.4149 | VarLoss: 0.1530 | TargetStd: 0.7666
  Epoch 3 | Batch 150 | Total: 0.8596 | MSE: 0.3391 | VarLoss: 0.5205 | TargetStd: 0.3478
  Epoch 3 | Batch 200 | Total: 0.6793 | MSE: 0.4667 | VarLoss: 0.2126 | TargetStd: 0.7433
  Epoch 3 | Batch 250 | Total: 0.7102 | MSE: 0.4428 | VarLoss: 0.2673 | TargetStd: 0.7389
  Epoch 3 | Batch 300 | Total: 0.5980 | MSE: 0.3449 | VarLoss: 0.2532 | TargetStd: 0.6344
  Epoch 3 | Batch 350 | Total: 0.6035 | MSE: 0.4267 | VarLoss: 0.1768 | TargetStd: 0.7335
  Epoch 3 | Batch 400 | Total: 0.5231 | MSE: 0.3571 | VarLoss: 0.1660 | TargetStd: 0.6819
  Epoch 3 | Batch 450 | Total: 0.6254 | MSE: 0.4116 | VarLoss: 0.2139 | TargetStd: 0.7311
  Epoch 3 | Batch 500 | Total: 0.5943 | MSE: 0.3204 | VarLoss: 0.2739 | TargetStd: 0.6669
  Epoch 3 | Batch 550 | Total: 0.7893 | MSE: 0.3608 | VarLoss: 0.4285 | TargetStd: 0.4928
  Epoch 3 | Batch 600 | Total: 0.6563 | MSE: 0.4749 | VarLoss: 0.1814 | TargetStd: 0.7027
