epoch,train_loss,val_loss,best_val_so_far,source_file,source_path
40,0.6523,0.9047,0.8956,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
41,0.6538,0.8959,0.8956,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
42,0.653,0.8917,0.8956,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
43,0.6536,0.8872,0.8917,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
44,0.655,0.8673,0.8872,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
45,0.6563,0.8658,0.8673,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
46,0.6549,0.8654,0.8658,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
47,0.6535,0.8754,0.8654,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
48,0.6565,0.8711,0.8654,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
49,0.6557,0.8612,0.8654,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
50,0.6544,0.8582,0.8612,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
51,0.6558,0.8495,0.8582,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
52,0.6569,0.8484,0.8495,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
53,0.6577,0.8433,0.8484,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
54,0.6583,0.8406,0.8433,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
55,0.6593,0.8427,0.8406,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
56,0.6593,0.8381,0.8406,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
57,0.6606,0.8326,0.8381,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
58,0.6607,0.8273,0.8326,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
59,0.6608,0.8302,0.8273,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
60,0.6612,0.8236,0.8273,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
61,0.6613,0.8217,0.8236,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
62,0.662,0.8193,0.8217,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
63,0.6622,0.8131,0.8193,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
64,0.6624,0.8164,0.8131,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
65,0.662,0.7981,0.8131,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
66,0.6585,0.7964,0.7981,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
67,0.6573,0.7931,0.7964,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
68,0.6569,0.7983,0.7931,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
69,0.657,0.7912,0.7931,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
70,0.6572,0.7878,0.7912,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
71,0.6564,0.7873,0.7878,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
72,0.6554,0.7822,0.7873,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
73,0.6542,0.7776,0.7822,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
74,0.6532,0.7753,0.7776,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
75,0.6529,0.7742,0.7753,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
76,0.6523,0.7712,0.7742,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
77,0.6515,0.7698,0.7712,train-jepa-train-168188.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-168188.out
