epoch,train_total,pred_loss,var_loss,cov_loss,val_loss,lr,ema,is_new_best,best_val,is_warmup_phase,source_file
48,0.213,0.0495,0.6185,0.4826,0.3223,0.000106,0.9974,False,,False,train-jepa-v3t-172616.out
49,0.2121,0.0476,0.6237,0.4598,0.3186,0.000103,0.9975,False,,False,train-jepa-v3t-172616.out
50,0.2114,0.0458,0.6288,0.4384,0.3141,0.0001,0.9975,False,,False,train-jepa-v3t-172616.out
51,0.211,0.0443,0.6338,0.4179,0.3105,9.73e-05,0.9975,False,,False,train-jepa-v3t-172616.out
52,0.2101,0.0425,0.6378,0.4009,0.3069,9.43e-05,0.9976,False,,False,train-jepa-v3t-172616.out
53,0.2092,0.0405,0.6425,0.3827,0.3036,9.14e-05,0.9976,False,,False,train-jepa-v3t-172616.out
54,0.2086,0.0389,0.6471,0.3669,0.2995,8.84e-05,0.9977,False,,False,train-jepa-v3t-172616.out
55,0.2082,0.0374,0.6519,0.3498,0.2964,8.55e-05,0.9977,False,,False,train-jepa-v3t-172616.out
56,0.2078,0.0361,0.6562,0.3356,0.2932,8.26e-05,0.9978,False,,False,train-jepa-v3t-172616.out
57,0.2074,0.0347,0.6607,0.3213,0.2909,7.96e-05,0.9978,False,,False,train-jepa-v3t-172616.out
58,0.2071,0.0334,0.6651,0.3072,0.2879,7.67e-05,0.9979,False,,False,train-jepa-v3t-172616.out
59,0.207,0.0323,0.6692,0.2954,0.2854,7.37e-05,0.9979,False,,False,train-jepa-v3t-172616.out
60,0.2067,0.0311,0.6732,0.2833,0.2832,7.08e-05,0.998,False,,False,train-jepa-v3t-172616.out
61,0.2066,0.0301,0.6772,0.2723,0.2811,6.79e-05,0.998,False,,False,train-jepa-v3t-172616.out
62,0.2064,0.029,0.681,0.262,0.2786,6.51e-05,0.9981,False,,False,train-jepa-v3t-172616.out
63,0.2063,0.0281,0.6846,0.2529,0.2767,6.22e-05,0.9981,False,,False,train-jepa-v3t-172616.out
64,0.2063,0.0272,0.6883,0.243,0.2744,5.94e-05,0.9981,False,,False,train-jepa-v3t-172616.out
65,0.2062,0.0263,0.6919,0.2345,0.2729,5.66e-05,0.9982,False,,False,train-jepa-v3t-172616.out
66,0.2062,0.0255,0.6953,0.2256,0.2713,5.38e-05,0.9982,False,,False,train-jepa-v3t-172616.out
67,0.2063,0.0248,0.6987,0.2182,0.2698,5.11e-05,0.9983,False,,False,train-jepa-v3t-172616.out
68,0.2063,0.0241,0.7016,0.2115,0.2678,4.85e-05,0.9983,False,,False,train-jepa-v3t-172616.out
69,0.2064,0.0234,0.7048,0.2041,0.2665,4.58e-05,0.9983,False,,False,train-jepa-v3t-172616.out
70,0.2064,0.0228,0.7077,0.1979,0.2651,4.33e-05,0.9984,False,,False,train-jepa-v3t-172616.out
71,0.2065,0.0222,0.7105,0.192,0.264,4.07e-05,0.9984,False,,False,train-jepa-v3t-172616.out
72,0.2066,0.0216,0.7132,0.1869,0.2629,3.82e-05,0.9985,False,,False,train-jepa-v3t-172616.out
73,0.2067,0.0211,0.7157,0.1817,0.2616,3.58e-05,0.9985,False,,False,train-jepa-v3t-172616.out
74,0.2068,0.0207,0.7182,0.1763,0.2608,3.35e-05,0.9985,False,,False,train-jepa-v3t-172616.out
75,0.2069,0.0202,0.7206,0.1722,0.2601,3.12e-05,0.9986,False,,False,train-jepa-v3t-172616.out
76,0.207,0.0198,0.7227,0.1683,0.2589,2.9e-05,0.9986,False,,False,train-jepa-v3t-172616.out
77,0.2071,0.0194,0.7248,0.1645,0.2582,2.68e-05,0.9986,False,,False,train-jepa-v3t-172616.out
78,0.2072,0.019,0.7268,0.1607,0.2574,2.47e-05,0.9987,False,,False,train-jepa-v3t-172616.out
79,0.2074,0.0187,0.7289,0.1568,0.257,2.27e-05,0.9987,False,,False,train-jepa-v3t-172616.out
80,0.2074,0.0184,0.7304,0.154,0.2561,2.08e-05,0.9987,False,,False,train-jepa-v3t-172616.out
81,0.2075,0.0181,0.732,0.1518,0.2556,1.89e-05,0.9987,False,,False,train-jepa-v3t-172616.out
82,0.2076,0.0178,0.7336,0.1491,0.2552,1.71e-05,0.9988,False,,False,train-jepa-v3t-172616.out
83,0.2077,0.0176,0.7351,0.1466,0.2547,1.54e-05,0.9988,False,,False,train-jepa-v3t-172616.out
84,0.2078,0.0173,0.7364,0.1446,0.2543,1.38e-05,0.9988,False,,False,train-jepa-v3t-172616.out
85,0.2079,0.0171,0.7376,0.1426,0.2538,1.23e-05,0.9988,False,,False,train-jepa-v3t-172616.out
86,0.208,0.0169,0.7387,0.1408,0.2534,1.09e-05,0.9989,False,,False,train-jepa-v3t-172616.out
87,0.2081,0.0168,0.7398,0.1392,0.2531,9.55e-06,0.9989,False,,False,train-jepa-v3t-172616.out
88,0.2081,0.0166,0.7407,0.1378,0.2527,8.31e-06,0.9989,False,,False,train-jepa-v3t-172616.out
89,0.2082,0.0165,0.7415,0.1367,0.2526,7.15e-06,0.9989,False,,False,train-jepa-v3t-172616.out
90,0.2083,0.0163,0.7423,0.1356,0.2522,6.1e-06,0.9989,False,,False,train-jepa-v3t-172616.out
91,0.2083,0.0162,0.743,0.1344,0.2521,5.14e-06,0.9989,False,,False,train-jepa-v3t-172616.out
92,0.2084,0.0161,0.7435,0.1339,0.2519,4.27e-06,0.999,False,,False,train-jepa-v3t-172616.out
93,0.2084,0.0161,0.7441,0.1325,0.2518,3.51e-06,0.999,False,,False,train-jepa-v3t-172616.out
94,0.2085,0.016,0.7445,0.1324,0.2516,2.85e-06,0.999,False,,False,train-jepa-v3t-172616.out
95,0.2084,0.0159,0.7447,0.1319,0.2515,2.28e-06,0.999,False,,False,train-jepa-v3t-172616.out
96,0.2084,0.0159,0.745,0.1316,0.2515,1.82e-06,0.999,False,,False,train-jepa-v3t-172913.out
97,0.2085,0.0158,0.7454,0.1309,0.2513,1.46e-06,0.999,False,,False,train-jepa-v3t-172913.out
98,0.2085,0.0158,0.7455,0.1307,0.2513,1.21e-06,0.999,False,,False,train-jepa-v3t-172913.out
99,0.2085,0.0158,0.7457,0.1306,0.2512,1.05e-06,0.999,False,,False,train-jepa-v3t-172913.out
