epoch,train_loss,val_loss,is_new_best,best_val,source_file
88,0.0072,0.0074,False,,train-videomae-train-168189.out
89,0.0072,0.007,True,0.007,train-videomae-train-168189.out
90,0.0071,0.0069,True,0.0069,train-videomae-train-168189.out
91,0.007,0.0068,True,0.0068,train-videomae-train-168365.out
92,0.007,0.0068,False,,train-videomae-train-168365.out
93,0.0069,0.0067,True,0.0067,train-videomae-train-168365.out
94,0.0069,0.0068,False,,train-videomae-train-168365.out
95,0.0068,0.0068,False,,train-videomae-train-168365.out
96,0.0067,0.0066,True,0.0066,train-videomae-train-168365.out
97,0.0067,0.0065,True,0.0065,train-videomae-train-168365.out
98,0.0067,0.0065,True,0.0065,train-videomae-train-168365.out
99,0.0066,0.0067,False,,train-videomae-train-168365.out
